"","psi0"
"1",0.728776915304803
"2",0.729242229901153
"3",0.729766277350226
"4",0.730357781077555
"5",0.731023819121351
"6",0.73176952379652
"7",0.732597860593535
"8",0.733509487114932
"9",0.734502689271282
"10",0.735573389130298
"11",0.736715216839261
"12",0.737919637947105
"13",0.739176127173078
"14",0.740472380088631
"15",0.741794555113391
"16",0.743127539477049
"17",0.744455234151287
"18",0.745760854015087
"19",0.747027240514514
"20",0.74823718469678
"21",0.749373758665977
"22",0.750420653211371
"23",0.751362518627233
"24",0.752185304650481
"25",0.752876594087142
"26",0.753425923203399
"27",0.753825080450183
"28",0.754068373711077
"29",0.754152855148317
"30",0.754078492015719
"31",0.753848271651224
"32",0.753468229395851
"33",0.752947389536312
"34",0.752297611632021
"35",0.75153333780963
"36",0.750671240760975
"37",0.749729777138241
"38",0.748728656569935
"39",0.747688242281322
"40",0.746628904863029
"41",0.745570355606452
"42",0.744530989525868
"43",0.743527270276672
"44",0.742573189325817
"45",0.741679829751516
"46",0.740855060939967
"47",0.740103384384477
"48",0.739425943123262
"49",0.738820698561224
"50",0.738282769083328
"51",0.737804915604735
"52",0.73737815061856
"53",0.736992439953542
"54",0.736637460777915
"55",0.736303375715865
"56",0.735981581449992
"57",0.735665390913024
"58",0.735350611040676
"59",0.735035982883015
"60",0.73472345740064
"61",0.734418288199242
"62",0.734128931440485
"63",0.733866752836362
"64",0.733645551576802
"65",0.733480920809912
"66",0.733389473403488
"67",0.733387969660279
"68",0.733492389939042
"69",0.73371699929802
"70",0.734073452971609
"71",0.734569990491907
"72",0.735210762522165
"73",0.735995328105662
"74",0.736918351368079
"75",0.737969516230816
"76",0.73913366602417
"77",0.74039116278447
"78",0.741718449268676
"79",0.743088786129267
"80",0.744473127984795
"81",0.745841095874911
"82",0.747162000163081
"83",0.748405867441441
"84",0.749544427214735
"85",0.750552018657343
"86",0.75140638392631
"87",0.752089321665472
"88",0.752587181768445
"89",0.752891189621407
"90",0.752997594557274
"91",0.752907642974201
"92",0.752627381556544
"93",0.752167300471564
"94",0.75154183053991
"95",0.750768712393302
"96",0.749868259633968
"97",0.748862541942091
"98",0.747774517735324
"99",0.746627149043415
"100",0.745442533339756
"101",0.744241087798075
"102",0.743040820530909
"103",0.741856720660767
"104",0.740700294587562
"105",0.739579269720303
"106",0.738497479556365
"107",0.737454935741693
"108",0.736448084109181
"109",0.735470233161637
"110",0.734512135495977
"111",0.733562695646162
"112",0.732609772054574
"113",0.731641036565482
"114",0.730644852073624
"115",0.72961112777632
"116",0.728532111828455
"117",0.72740308301558
"118",0.726222906265769
"119",0.724994421353989
"120",0.723724639980882
"121",0.722424733488888
"122",0.721109801767314
"123",0.71979842326332
"124",0.718511996229144
"125",0.71727389202447
"126",0.716108451940351
"127",0.715039868981669
"128",0.714091004636698
"129",0.713282197178508
"130",0.71263012187039
"131",0.712146764123859
"132",0.711838563917392
"133",0.71170578358647
"134",0.711742141625572
"135",0.711934742809665
"136",0.712264320358862
"137",0.712705789835724
"138",0.713229097929945
"139",0.713800333297982
"140",0.714383052247523
"141",0.714939760253129
"142",0.715433481812306
"143",0.715829346430139
"144",0.716096117610975
"145",0.716207594334072
"146",0.716143820030098
"147",0.7158920418892
"148",0.715447372821185
"149",0.714813119175997
"150",0.714000749307475
"151",0.71302949133849
"152",0.711925563239678
"153",0.710721054604503
"154",0.709452496988542
"155",0.708159177619935
"156",0.70688126846498
"157",0.705657857516033
"158",0.704524980148294
"159",0.703513754050733
"160",0.70264872059174
"161",0.701946488132903
"162",0.701414758978729
"163",0.701051802140906
"164",0.700846410153777
"165",0.700778351380066
"166",0.700819301369451
"167",0.700934209737866
"168",0.701083034543759
"169",0.701222755885511
"170",0.701309565718827
"171",0.701301122468767
"172",0.701158757048443
"173",0.700849520936379
"174",0.700347976069512
"175",0.699637639309602
"176",0.698712010038831
"177",0.697575127260131
"178",0.696241622071698
"179",0.694736252548243
"180",0.693092930967877
"181",0.691353277783603
"182",0.689564761996836
"183",0.687778512204349
"184",0.686046904538386
"185",0.684421050736736
"186",0.682948319604057
"187",0.681670026728669
"188",0.68061941997775
"189",0.67982007244292
"190",0.67928477139621
"191",0.679014963228129
"192",0.679000782317622
"193",0.679221658410144
"194",0.679647464366492
"195",0.680240135997546
"196",0.680955669901055
"197",0.681746385366349
"198",0.682563323792858
"199",0.68335865446787
"200",0.684087959089921
"201",0.684712278496
"202",0.685199822377022
"203",0.685527264630831
"204",0.685680571559287
"205",0.685655335697614
"206",0.685456613379295
"207",0.685098288314339
"208",0.684602005923051
"209",0.683995743446029
"210",0.683312098371205
"211",0.682586391698961
"212",0.681854692058043
"213",0.681151870726103
"214",0.680509795456047
"215",0.6799557623502
"216",0.679511250112888
"217",0.679191060694735
"218",0.679002885967806
"219",0.678947313345038
"220",0.67901825604703
"221",0.679203767889841
"222",0.679487179726661
"223",0.679848476460763
"224",0.680265820936077
"225",0.680717124655192
"226",0.681181565367832
"227",0.68164095785538
"228",0.68208089604343
"229",0.682491600926306
"230",0.68286842850179
"231",0.68321201372188
"232",0.68352804909571
"233",0.683826718816716
"234",0.684121829985618
"235",0.684429700596989
"236",0.684767878473966
"237",0.68515377541774
"238",0.685603305811616
"239",0.686129618366638
"240",0.686742003529361
