,Sal,SST
0,34.8981688844914,12.8802257989116
1,34.7731893239287,12.951888492238
2,34.641715835631,13.023014414582
3,34.504528819266,13.0916536263721
4,34.3624655236799,13.1559957585719
5,34.2164134507308,13.2144153343125
6,34.0673032307747,13.2655081644448
7,33.9161010317981,13.3081187016065
8,33.7638005692111,13.341358647661
9,33.6114147876978,13.3646174196282
10,33.459967290245,13.3775652795208
11,33.3104835924685,13.3801500239967
12,33.1639822826221,13.3725881201502
13,33.0214661691547,13.3553510820385
14,32.8839134983769,13.3291477329003
15,32.7522693246866,13.2949028186604
16,32.6274371148879,13.2537322586809
17,32.51027066641939,13.2069151679399
18,32.40156641679989,13.1558626851163
19,32.3020562183282,13.1020836116235
20,32.2124006480618,13.0471469179873
21,32.13318291838331,12.9926413079291
22,32.0649034480957,12.9401322399701
23,32.0079751480049,12.891117075684
24,31.9627194684187,12.8469793299193
25,31.9293632489735,12.8089433128545
26,31.9080364037563,12.7780307448221
27,31.8987704669046,12.7550211599139
28,31.9014980157991,12.7404180629588
29,31.9160529807082,12.7344228406726
30,31.9421718413708,12.736918332758
31,31.9794957025978,12.7474637325049
32,32.0275732326198,12.7653021091963
33,32.085864439687,12.7893813373071
34,32.1537452544189,12.8183886015177
35,32.2305128776897,12.850797952952
36,32.3153918464899,12.8849296595517
37,32.4075407633032,12.9190193663794
38,32.506059628151,12.9512944068117
39,32.6099977066378,12.9800540294973
40,32.7183618621558,13.0037498714888
41,32.8301252759051,13.0210627512814
42,32.9442364746265,13.030971803489
43,33.0596285829401,13.0328121448862
44,33.1752287149904,13.0263176519529
45,33.2899674187144,13.0116460316555
46,33.4027880855112,12.9893841553475
47,33.5126562383845,12.9605325634433
48,33.61856861276789,12.926469088515
49,33.7195619462069,12.8888926314751
50,33.8147213958401,12.8497491996425
51,33.9031885061793,12.8111433156762
52,33.9841686539852,12.7752387740126
53,34.0569379020395,12.7441534040151
54,34.1208491992762,12.7198529532972
55,34.1753378709868,12.7040493994111
56,34.219926349616,12.6981089161817
57,34.2542281039238,12.7029743606162
58,34.2779507319582,12.7191065213641
59,34.2908981912674,12.7464475090115
60,34.29297214800999,12.7844086144828
61,34.2841724350187,12.8318837681296
62,34.2645966173429,12.8872884606418
63,34.2344386722707,12.9486227044374
64,34.1939867992107,13.0135553884862
65,34.1436203830338,13.079526275686
66,34.0838061424402,13.1438609686584
67,34.0150935025552,13.2038934763076
68,33.9381092382004,13.2570905865198
69,33.8535514410483,13.3011721125691
70,33.7621828701025,13.3342212393256
71,33.6648237505766,13.3547796417625
72,33.5623440912276,13.3619227590114
73,33.4556555944825,13.3553115451974
74,33.3457032372446,13.3352181349352
75,33.2334566030375,13.3025240994717
76,33.1199010481283,13.2586912662957
77,33.0060287854343,13.2057063658226
78,32.89282997036381,13.146001990067
79,32.7812838722676,13.0823574412478
80,32.6723502138836,13.0177839617862
81,32.5669607590738,12.9553995299171
82,32.4660112262866,12.8982988477025
